 1 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   2.00
 1 threads :       10 trials ; probability =  30.00 ; megatrials/sec =  11.35
 1 threads :      100 trials ; probability =  23.00 ; megatrials/sec =   9.53
 1 threads :     1000 trials ; probability =  24.20 ; megatrials/sec =  15.36
 1 threads :    10000 trials ; probability =  27.11 ; megatrials/sec =  14.86
 1 threads :   100000 trials ; probability =  26.78 ; megatrials/sec =  14.38
 1 threads :   500000 trials ; probability =  26.81 ; megatrials/sec =  14.39
 1 threads :  1000000 trials ; probability =  26.83 ; megatrials/sec =  14.36
 2 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   1.11
 2 threads :       10 trials ; probability =  30.00 ; megatrials/sec =   7.62
 2 threads :      100 trials ; probability =  34.00 ; megatrials/sec =  15.69
 2 threads :     1000 trials ; probability =  27.50 ; megatrials/sec =  18.55
 2 threads :    10000 trials ; probability =  27.39 ; megatrials/sec =  28.46
 2 threads :   100000 trials ; probability =  26.79 ; megatrials/sec =  28.91
 2 threads :   500000 trials ; probability =  26.87 ; megatrials/sec =  28.30
 2 threads :  1000000 trials ; probability =  26.88 ; megatrials/sec =  28.75
 4 threads :        1 trials ; probability = 100.00 ; megatrials/sec =   0.77
 4 threads :       10 trials ; probability =  10.00 ; megatrials/sec =   8.68
 4 threads :      100 trials ; probability =  22.00 ; megatrials/sec =  23.21
 4 threads :     1000 trials ; probability =  26.50 ; megatrials/sec =  35.53
 4 threads :    10000 trials ; probability =  26.11 ; megatrials/sec =  40.18
 4 threads :   100000 trials ; probability =  26.63 ; megatrials/sec =  39.02
 4 threads :   500000 trials ; probability =  26.84 ; megatrials/sec =  48.17
 4 threads :  1000000 trials ; probability =  26.83 ; megatrials/sec =  49.85
 8 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   0.02
 8 threads :       10 trials ; probability =  10.00 ; megatrials/sec =   0.13
 8 threads :      100 trials ; probability =  35.00 ; megatrials/sec =   0.46
 8 threads :     1000 trials ; probability =  25.50 ; megatrials/sec =   4.79
 8 threads :    10000 trials ; probability =  26.83 ; megatrials/sec =  31.16
 8 threads :   100000 trials ; probability =  26.79 ; megatrials/sec =  98.27
 8 threads :   500000 trials ; probability =  26.72 ; megatrials/sec =  98.41
 8 threads :  1000000 trials ; probability =  26.92 ; megatrials/sec =  74.26
12 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   0.00
12 threads :       10 trials ; probability =  50.00 ; megatrials/sec =   0.02
12 threads :      100 trials ; probability =  28.00 ; megatrials/sec =   0.29
12 threads :     1000 trials ; probability =  27.90 ; megatrials/sec =   1.62
12 threads :    10000 trials ; probability =  27.64 ; megatrials/sec =  19.18
12 threads :   100000 trials ; probability =  27.00 ; megatrials/sec =  48.56
12 threads :   500000 trials ; probability =  26.81 ; megatrials/sec =  71.67
12 threads :  1000000 trials ; probability =  26.86 ; megatrials/sec =  71.33
16 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   0.00
16 threads :       10 trials ; probability =  30.00 ; megatrials/sec =   0.02
16 threads :      100 trials ; probability =  24.00 ; megatrials/sec =   0.17
16 threads :     1000 trials ; probability =  27.30 ; megatrials/sec =   1.25
16 threads :    10000 trials ; probability =  26.33 ; megatrials/sec =  18.81
16 threads :   100000 trials ; probability =  26.91 ; megatrials/sec =  43.16
16 threads :   500000 trials ; probability =  26.95 ; megatrials/sec =  87.84
16 threads :  1000000 trials ; probability =  26.93 ; megatrials/sec =  90.93
20 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   0.00
20 threads :       10 trials ; probability =  20.00 ; megatrials/sec =   0.01
20 threads :      100 trials ; probability =  24.00 ; megatrials/sec =   0.11
20 threads :     1000 trials ; probability =  27.70 ; megatrials/sec =   1.05
20 threads :    10000 trials ; probability =  26.91 ; megatrials/sec =   9.33
20 threads :   100000 trials ; probability =  26.77 ; megatrials/sec =  49.02
20 threads :   500000 trials ; probability =  26.87 ; megatrials/sec =  69.04
20 threads :  1000000 trials ; probability =  26.85 ; megatrials/sec =  77.02
24 threads :        1 trials ; probability =   0.00 ; megatrials/sec =   0.00
24 threads :       10 trials ; probability =  30.00 ; megatrials/sec =   0.01
24 threads :      100 trials ; probability =  21.00 ; megatrials/sec =   0.14
24 threads :     1000 trials ; probability =  25.70 ; megatrials/sec =   0.87
24 threads :    10000 trials ; probability =  27.77 ; megatrials/sec =   8.02
24 threads :   100000 trials ; probability =  26.74 ; megatrials/sec =  34.55
24 threads :   500000 trials ; probability =  26.84 ; megatrials/sec =  68.11
24 threads :  1000000 trials ; probability =  26.88 ; megatrials/sec =  64.18
32 threads :        1 trials ; probability = 100.00 ; megatrials/sec =   0.00
32 threads :       10 trials ; probability =  30.00 ; megatrials/sec =   0.01
32 threads :      100 trials ; probability =  23.00 ; megatrials/sec =   0.04
32 threads :     1000 trials ; probability =  26.60 ; megatrials/sec =   0.80
32 threads :    10000 trials ; probability =  26.93 ; megatrials/sec =   5.55
32 threads :   100000 trials ; probability =  26.69 ; megatrials/sec =  44.89
32 threads :   500000 trials ; probability =  26.87 ; megatrials/sec =  73.11
32 threads :  1000000 trials ; probability =  26.88 ; megatrials/sec =  58.21
