Sum of Megatrials/Sec,Column Labels,,,,,,,,
Row Labels,1,10,100,1000,10000,100000,500000,1000000,Grand Total
1,2.38,11.09,14.16,15.1,14.89,14.17,14.4,14.36,100.55
2,0.87,9.07,26.69,19.02,29.53,28.78,28.58,28.16,170.7
4,0.77,9.69,38.39,43.45,39.46,49.3,49.04,51.48,281.58
8,0.01,0.07,0.94,86.65,67.56,47.19,34.52,92.23,329.17
12,0,0.01,0.11,1.31,24.76,51.86,68.21,67.8,214.06
16,0,0.01,0.19,1.26,11.44,57.48,78.73,77.34,226.45
20,0,0.02,0.17,1.08,9.67,50.12,75.33,75.56,211.95
24,0,0.02,0.08,0.67,7.57,41.81,81.45,82.59,214.19
32,0,0,0.06,1.16,9.99,34.2,65.85,84.39,195.65
Grand Total,4.03,29.98,80.79,169.7,214.87,374.91,496.11,573.91,1944.3
,,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000,
1,2.38,11.09,14.16,15.1,14.89,14.17,14.4,14.36,
2,0.87,9.07,26.69,19.02,29.53,28.78,28.58,28.16,
4,0.77,9.69,38.39,43.45,39.46,49.3,49.04,51.48,
8,0.01,0.07,0.94,86.65,67.56,47.19,34.52,92.23,
12,0,0.01,0.11,1.31,24.76,51.86,68.21,67.8,
16,0,0.01,0.19,1.26,11.44,57.48,78.73,77.34,
20,0,0.02,0.17,1.08,9.67,50.12,75.33,75.56,
24,0,0.02,0.08,0.67,7.57,41.81,81.45,82.59,
32,0,0,0.06,1.16,9.99,34.2,65.85,84.39,
